"url","Imgheigthcol image","Imgheigthcol image_alt","Imgheigthcol image_link","Eventtitle link","Eventtitle link_link","Detailseventtime value","Detailseventtext value"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/289023214765945/picture","University of Nicosia","http://www.wherevent.com/detail/DisruptCypruscom-CryptoCurrency-Systems-BlockChain-Applications","CryptoCurrency Systems & BlockChain Applications","http://www.wherevent.com/detail/DisruptCypruscom-CryptoCurrency-Systems-BlockChain-Applications","18:00","46 Makedonitissas Avenue, Engomi,Nicosia"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/1585381118421113/picture","Arte Music Academy","http://www.wherevent.com/detail/Nikos-Koukouvinos-Final-Bachelors-Recital","Final Bachelor's Recital","http://www.wherevent.com/detail/Nikos-Koukouvinos-Final-Bachelors-Recital","18:30","34-36 Anastasios G. Leventis Street,Nicosia"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/1741614449415104/picture","CVAR/Severis Foundation","http://www.wherevent.com/detail/Nicosia-Street-Quest-EVENT-4-Nicosia-Street-Quest-Paixnidi-Oi-%C2%ABGrifoi-Tis-Leykosias%C2%BB","EVENT 4 Nicosia Street Quest - Παιχνίδι Οι «Γρίφοι Της Λευκωσίας»","http://www.wherevent.com/detail/Nicosia-Street-Quest-EVENT-4-Nicosia-Street-Quest-Paixnidi-Oi-%C2%ABGrifoi-Tis-Leykosias%C2%BB","19:00","285 Ermou street,Nicosia"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/129328534158588/picture","Nautilos SAR","http://www.wherevent.com/detail/Nautilos-SAR-The-worst-man-made-environmental-disasters","Τhe worst man-made environmental disasters","http://www.wherevent.com/detail/Nautilos-SAR-The-worst-man-made-environmental-disasters","19:30","Αγράφων 11, Στρόβολος,Nicosia"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/130560770701431/picture","Parga BOOKCENTER","http://www.wherevent.com/detail/Parga-BOOKCENTER-Paroysiasi-biblioy-To-taksidi-poy-den-zisame","Παρουσίαση βιβλίου "" Το ταξίδι που δεν ζήσαμε""","http://www.wherevent.com/detail/Parga-BOOKCENTER-Paroysiasi-biblioy-To-taksidi-poy-den-zisame","19:30","94 Tseriou Avenue, Strovolos,Nicosia"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/627687964055214/picture","St Paul's Cathedral Nicosia","http://www.wherevent.com/detail/Aleen-Andreou-The-Importance-of-Being-Earnest","The Importance of Being Earnest","http://www.wherevent.com/detail/Aleen-Andreou-The-Importance-of-Being-Earnest","20:00","2 Grigoriou Afxentiou Street,Nicosia"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/1650011331987040/picture","HipHop-Entertainment","http://www.wherevent.com/detail/HipHop-Entertainment-Summer-BEER-PONG-Tournament-With-DJElconee","Summer BEER PONG Tournament With DJ.Elconee","http://www.wherevent.com/detail/HipHop-Entertainment-Summer-BEER-PONG-Tournament-With-DJElconee","21:00","Nicosia"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/301306913547925/picture","Aperitivo Jetset Lounge","http://www.wherevent.com/detail/Aperitivo-Jetset-Lounge-Thanasis-Vasilakos-LIVE-at-aperitivo-jetset-lounge","Thanasis Vasilakos LIVE at aperitivo jetset lounge","http://www.wherevent.com/detail/Aperitivo-Jetset-Lounge-Thanasis-Vasilakos-LIVE-at-aperitivo-jetset-lounge","21:00","1 Kennedy Avenue , Nicosia,Nicosia"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/509485289249569/picture","Notes And Spirits","http://www.wherevent.com/detail/Notes-And-Spirits-Marios-Spyrou-Quartet-feat-Charlotte-Storer-performing-live-at-Notes-And-Spirits","Marios Spyrou Quartet feat. Charlotte Storer performing live at Notes And Spirits","http://www.wherevent.com/detail/Notes-And-Spirits-Marios-Spyrou-Quartet-feat-Charlotte-Storer-performing-live-at-Notes-And-Spirits","21:00","33, Odos Evagorou I,Nicosia"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/1560857834215190/picture","DownTown Live","http://www.wherevent.com/detail/OnTour-OnTour-Summer-Party-at-Downtown-Live","OnTour Summer Party at Downtown Live","http://www.wherevent.com/detail/OnTour-OnTour-Summer-Party-at-Downtown-Live","22:00","Emanouil Roidi 2, Ex Avlaia,Nicosia"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/546755608837776/picture","Canteen","http://www.wherevent.com/detail/Canteen-Your-remedy-for-Wednesdays-JamRock-Reggae-Party","Your remedy for Wednesdays. JamRock Reggae Party","http://www.wherevent.com/detail/Canteen-Your-remedy-for-Wednesdays-JamRock-Reggae-Party","22:00","Onasagorou street,Nicosia"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/1603507916644691/picture","Rock City Bar","http://www.wherevent.com/detail/Jimmy-Mavromatis-Sands-of-Time-Live","Sands of Time Live","http://www.wherevent.com/detail/Jimmy-Mavromatis-Sands-of-Time-Live","22:30","Αλκαμενους, Νο.5.,Nicosia"
"http://www.wherevent.com/search/Cyprus/Nicosia+District/Nicosia","http://graph.facebook.com/587234414783452/picture","STATE","http://www.wherevent.com/detail/STATE-STLTE-Night-Club-Ala-DAllon-Greek-Wednesdays","STΛTE Night Club | Ala D'Allon Greek Wednesdays","http://www.wherevent.com/detail/STATE-STLTE-Night-Club-Ala-DAllon-Greek-Wednesdays","22:30","23 Alkaiou street,Egkomi"
