"url","Image","Image_alt","Summary link","Summary link_link","When","Until","Event time","Where value","Descriptionblock value"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/Summer_School_2016_eventsweb.jpg","Performing Arts Summer School","Performing Arts Summer School","http://www.cyprusevents.net/events/performing-arts-summer-school-limassol-2016/","June 27th","July 8th","07:45 - 14:00","Limassol Theatre Arts School, Limassol","Educational | Kids and Family"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/__23__2016_SM.jpg","Photo exhibition - children refugees","Photo exhibition - children refugees","http://www.cyprusevents.net/events/photo-exhibition-children-refugees-2016/","June 23rd","June 30th",,"Fotodos, Nicosia","Art Exhibitions | Charity | Kids and Family"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/seven_stories_laces.jpg","Seven Stories. Lace and Modern Art","Seven Stories. Lace and Modern Art","http://www.cyprusevents.net/events/seven-stories-lace-modern-art-2016/","June 23rd","June 23rd",,"Athienou Kallinikeio Municipal Museum, Larnaca","Art Exhibitions"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/Squeegee_Riders.png","Squeegee Riders","Squeegee Riders","http://www.cyprusevents.net/events/squeegee-riders-nicosia-2016/","June 22nd","June 30th",,"To Phytorio, Nicosia","Art Exhibitions"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/KidsUniversity_7.jpg","Summer Kids University | Young Activists","Summer Kids University | Young Activists","http://www.cyprusevents.net/events/summer-kids-university-young-activists-2016/","June 21st","July 1st","08:30 - 13:00","ARTos Cultural and Research Foundation, Nicosia","Educational | Kids and Family"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/summer_2016_a_.jpg","Summer Activities","Summer Activities","http://www.cyprusevents.net/events/summer-activities-nicosia-2016/","June 20th","July 15th","07:30 - 13:30","The Little Worry People Art and Drama Studio, Nicosia","Educational | Kids and Family"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/Doros_Heracleous_2016.jpg","Doros Heracleous - ReAdaptions","Doros Heracleous - ReAdaptions","http://www.cyprusevents.net/events/doros-heracleous-larnaca-2016/","June 15th","September 30th",,"Gallery Kypriaki Gonia, Larnaca","Art Exhibitions"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/Casts_of_an_Island.jpg","Socratis Socratous 'Casts of an Island'","Socratis Socratous 'Casts of an Island'","http://www.cyprusevents.net/events/socratis-socratous-casts-island-2016/","May 28th","July 16th",,"Point Centre for Contemporary Art, Nicosia","Art Exhibitions"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/glyn.jpg","Glyn Hughes 1931-2014","Glyn Hughes 1931-2014","http://www.cyprusevents.net/events/glyn-hughes-1931-2014/","May 27th","July 23rd",,"Nicosia Municipal Arts Centre, Nicosia","Art Exhibitions"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/Introduction_to_Oil_Painting.jpg","Introduction to Oil Painting","Introduction to Oil Painting","http://www.cyprusevents.net/events/introduction-oil-painting-nicosia-2016/","May 11th","June 29th","18:30 - 11:30","Leventis Gallery, Nicosia","Educational"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/Ancient_Kition_modern_world_Larnaka.jpg","Ancient Kition and the modern world of Larnaka","Ancient Kition and the modern world of Larnaka","http://www.cyprusevents.net/events/ancient-kition-modern-world-larnaka-2016/","April 20th","August 31st",,"Ancient Kition, Larnaca","Art Exhibitions"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/falcons.jpg","Falcons at Kolossi","Falcons at Kolossi","http://www.cyprusevents.net/events/falcons-at-kolossi-2016/","April 18th","August 31st","08:30 - 19:15","Kolossi Castle, Limassol","Art Exhibitions"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/Wednesdays_1.jpg","Evening Cycling","Evening Cycling","http://www.cyprusevents.net/events/evening-cycling-nicosia-2016/","January 13th","July 27th","19:45 - 21:30","Kolokasi Parking Area, Nicosia","Outdoor Activities | Social | Sport"
"http://www.cyprusevents.net/","http://www.cyprusevents.net/assets/event/s/1st_image_Valentinos.gif","Valentinos Charalambous. Of clay and glaze...","Valentinos Charalambous. Of clay and glaze...","http://www.cyprusevents.net/events/valentinos-charalambous-2015-2016/","December 11th","September 30th","10:00 - 19:00","Bank of Cyprus Cultural Foundation, Nicosia","Art Exhibitions"
